SM,lineage,generation,flowering_time,transition_time,clz_count
L1_F4_P9373_S1431-cn1,1,F4,9,2,3
L1_F4_P9381_S1447-cn1,1,F4,8,2,3
L1_F4_P9377_S1439-cn1,1,F4,9,2,3
L1_F4_P9374_S1433-cn1,1,F4,9,3,2
L1_F2_P9365_S1417-cn1,1,F2,10,4,2
L1_F2_P9383_S1451-cn1,1,F2,8,3,1
L1_F2_P9386_S1457-cn1,1,F2,7,4,2
L1_F2_P9386_S1458-cn2,1,F2,7,4,2
L1_F3_P9370_S1425-cn1,1,F3,7,4,2
L1_F3_P9380_S1445-cn1,1,F3,8,3,1
L1_F3_P9376_S1437-cn1,1,F3,8,4,1
L1_F3_P9371_S1427-cn1,1,F3,7,3,2
L1_F4_P9387_S1459-cn1,1,F4,10,2,2
L1_F4_P9394_S1473-cn1,1,F4,9,2,3
L1_F4_P9364_S1416-cn2,1,F4,10,4,2
L1_F4_P9385_S1456-cn2,1,F4,8,2,1
L1_F2_P9392_S1469-cn1,1,F2,8,2,2
L1_F2_P9389_S1464-cn2,1,F2,8,2,2
L1_F2_P9395_S1475-cn1,1,F2,9,2,1
L1_F2_P9366_S1420-cn2,1,F2,8,2,2
L1_F3_P9362_S1412-cn2,1,F3,9,4,1
L1_F3_P9393_S1471-cn1,1,F3,7,2,1
L1_F3_P9391_S1467-cn1,1,F3,8,4,1
L1_F3_P9384_S1453-cn1,1,F3,8,4,1
L2_F4_P9413_S1045-cn1,2,F4,8,2,2
L2_F4_P9419_S1057-cn1,2,F4,9,5,2
L2_F4_P9401_S1021-cn1,2,F4,10,1,2
L2_F4_P9411_S1041-cn1,2,F4,10,1,2
L2_F2_P9406_S1031-cn1,2,F2,8,1,2
L2_F2_P9427_S1073-cn1,2,F2,10,3,1
L2_F2_P9423_S1065-cn1,2,F2,10,3,2
L2_F2_P9425_S1069-cn1,2,F2,10,3,2
L2_F3_P9422_S1063-cn1,2,F3,9,4,1
L2_F3_P9424_S1067-cn1,2,F3,9,2,2
L2_F3_P9403_S1025-cn1,2,F3,9,1,2
L2_F3_P9402_S1023-cn1,2,F3,9,0,2
L2_F4_P9414_S1048-cn2,2,F4,8,4,2
L2_F4_P9432_S1083-cn1,2,F4,10,1,1
L2_F4_P9437_S1093-cn1,2,F4,10,1,1
L2_F4_P9431_S1081-cn1,2,F4,9,2,2
L2_F2_P9407_S1033-cn1,2,F2,8,2,2
L2_F2_P9405_S1030-cn2,2,F2,10,4,1
L2_F2_P9418_S1056-cn2,2,F2,7,4,2
L2_F2_P9404_S1027-cn1,2,F2,8,4,2
L2_F3_P9434_S1087-cn1,2,F3,7,5,2
L2_F3_P9417_S1054-cn2,2,F3,10,4,3
L2_F3_P9433_S1085-cn1,2,F3,8,1,1
L2_F3_P9435_S1089-cn1,2,F3,9,2,1
L3_F4_P9476_S1015-cn1,3,F4,8,2,3
L3_F4_P9468_S1000-cn2,3,F4,10,2,2
L3_F4_P9473_S1009-cn1,3,F4,10,2,2
L3_F4_P9472_S1007-cn1,3,F4,9,3,2
L3_F2_P9460_S983-cn1,3,F2,7,2,2
L3_F2_P9459_S981-cn1,3,F2,9,4,1
L3_F2_P9439_S941-cn1,3,F2,11,3,3
L3_F2_P9457_S977-cn1,3,F2,8,4,1
L3_F3_P9451_S966-cn2,3,F3,8,1,1
L3_F3_P9443_S949-cn1,3,F3,9,4,2
L3_F3_P9447_S957-cn1,3,F3,8,3,2
L3_F3_P9440_S943-cn1,3,F3,12,3,3
L3_F4_P9458_S979-cn1,3,F4,9,4,2
L3_F4_P9466_S996-cn2,3,F4,9,3,1
L3_F4_P9469_S1002-cn2,3,F4,8,4,2
L3_F4_P9474_S1011-cn1,3,F4,12,2,2
L3_F2_P9461_S985-cn1,3,F2,9,4,3
L3_F2_P9475_S1013-cn1,3,F2,9,2,2
L3_F2_P9477_S1017-cn1,3,F2,9,4,2
L3_F2_P9453_S970-cn2,3,F2,9,2,1
L3_F3_P9462_S987-cn1,3,F3,9,3,2
L3_F3_P9440_S944-cn2,3,F3,12,3,3
L3_F3_P9467_S997-cn1,3,F3,7,4,2
L3_F3_P9452_S967-cn1,3,F3,9,3,1
L4_F4_P9502_S1145-cn1,4,F4,8,2,2
L4_F4_P9495_S1131-cn1,4,F4,9,1,2
L4_F4_P9495_S1132-cn2,4,F4,9,1,2
L4_F4_P9502_S1146-cn2,4,F4,8,2,2
L4_F4_P9480_S1101-cn1,4,F4,8,3,2
L4_F2_P9479_S1099-cn1,4,F2,8,3,2
L4_F2_P9487_S1115-cn1,4,F2,10,5,2
L4_F2_P9490_S1122-cn2,4,F2,7,5,2
L4_F3_P9505_S1151-cn1,4,F3,9,1,1
L4_F3_P9481_S1103-cn1,4,F3,10,1,1
L4_F3_P9498_S1137-cn1,4,F3,10,3,2
L4_F3_P9509_S1159-cn1,4,F3,10,1,1
L4_F4_P9510_S1161-cn1,4,F4,9,1,2
L4_F4_P9504_S1150-cn2,4,F4,9,5,2
L4_F4_P9513_S1167-cn1,4,F4,9,5,2
L4_F4_P9506_S1153-cn1,4,F4,8,1,2
L4_F2_P9515_S1171-cn1,4,F2,9,1,1
L4_F2_P9508_S1157-cn1,4,F2,9,1,2
L4_F2_P9483_S1108-cn2,4,F2,8,5,2
L4_F2_P9497_S1135-cn1,4,F2,9,1,1
L4_F3_P9511_S1163-cn1,4,F3,9,1,1
L4_F3_P9514_S1169-cn1,4,F3,9,1,2
L4_F3_P9493_S1127-cn1,4,F3,11,1,1
